company,account,amount,date,units,fund
all,3000ALAACH,1600,12/31/2015,-22054.877,e2
all,3000ALAACH,-500000,12/31/2015,-3344.392,eq
all,3000ALAACH,0,12/31/2015,-4382.84,e4
all,3000ROBACH,1213.6,12/31/2015,1090.876,e2
all,3000ROBACH,0,12/31/2015,260.408,eq
all,3000ROBACH,0,12/31/2015,15.421,e4
all,3000MARSCH,8204.64,12/31/2015,1180.655,e2
all,3000MARSCH,0,12/31/2015,247.639,eq
all,3000MARSCH,0,12/31/2015,104.084,e4
all,2451EDWBLU,8165,12/31/2015,123.999,bd
all,2451EDWBLU,3061.52,12/31/2015,581.693,eq
all,2451EDWBLU,0,12/31/2015,2598.824,e2
all,2451EDWBLU,0,12/31/2015,70.711,e4
all,2451ROCDEN,2247.83,12/31/2015,26.169,bd
all,2451ROCDEN,0,12/31/2015,76.495,eq
all,2451ROCDEN,0,12/31/2015,379.704,e2
all,2451ROCDEN,0,12/31/2015,14.189,e4
all,2451STEGAN,0,12/31/2015,337.81,gn
all,2451JOAGAU,761.67,12/31/2015,16.715,bd
all,2451JOAGAU,0,12/31/2015,45.117,eq
all,2451JOAGAU,0,12/31/2015,224.784,e2
all,2451JOAGAU,0,12/31/2015,4.805,e4
all,2451GUIGEN,0,12/31/2015,1.07,gn
all,2451MICGON,731.74,12/31/2015,13.307,bd
all,2451MICGON,1364.61,12/31/2015,39.298,eq
all,2451MICGON,0,12/31/2015,205.448,e2
all,2451MICGON,0,12/31/2015,13.143,e4
all,2451ISAMAL,1512.16,12/31/2015,1512.16,gn
all,2451ISAMAL,496.58,12/31/2015,496.58,gn
all,2451ISAMAL,0,12/31/2015,1.54,gn
all,2451TANORT,92,12/31/2015,92.02,gn
all,2470SETDOM,3080,12/31/2015,606.464,e2
all,2470SETDOM,0,12/31/2015,134.246,eq
all,2470SETDOM,0,12/31/2015,38.858,e4
all,2470SETDOM,0,12/31/2015,37.92,bd
all,2470SETDOM,0,12/31/2015,25.221,z1
all,2470DAVFLA,1723.12,12/31/2015,124.082,e2
all,2470DAVFLA,0,12/31/2015,182.3,e3
all,2470DAVFLA,0,12/31/2015,52.074,z2
all,2470ELIKIL,663.39,12/31/2015,90.91,e2
all,2470ELIKIL,0,12/31/2015,18.984,eq
all,2470ELIKIL,0,12/31/2015,8.353,e4
all,2470ELIKIL,0,12/31/2015,-12.45,gn
all,2470ALARUB,5320,12/31/2015,772.813,e2
all,2470ALARUB,1982.68,12/31/2015,105.872,eq
all,2470ALARUB,0,12/31/2015,92.098,e4
all,2470LISTRO,614.04,12/31/2015,45.369,e2
all,2470LISTRO,0,12/31/2015,8.066,eq
all,2470LISTRO,0,12/31/2015,7.756,e4
all,2470DEBWIE,572.7,12/31/2015,1202.002,e2
all,2470DEBWIE,23297.16,12/31/2015,181.155,eq
all,2470DEBWIE,0,12/31/2015,300.067,e4
all,2470MITWOL,39.9,12/31/2015,-2424.645,e2
all,2470MITWOL,-59895.17,12/31/2015,-478.175,eq
all,2470MITWOL,0,12/31/2015,-526.026,e4
