company,account,amount,date,units,fund
allianz,DAD41620,-1647.06,1/8/2016,-1647.06,gn
allianz,DAD41620,-1647.06,2/9/2016,-1647.06,gn
allianz,DAD41620,-1647.06,3/9/2016,-1647.06,gn
allianz,DA432334,-500,1/8/2016,-2.4158,eq
allianz,DA432334,0,1/8/2016,-6.7549,z4
allianz,DA432334,0,1/8/2016,-7.315,z1
allianz,DA432334,0,1/8/2016,-1.9276,e2
allianz,DA432334,0,1/8/2016,-3.3932,ot
allianz,DA432334,-500,2/9/2016,-2.5729,eq
allianz,DA432334,0,2/9/2016,-7.1944,z4
allianz,DA432334,0,2/9/2016,-7.791,z1
allianz,DA432334,0,2/9/2016,-2.0531,e2
allianz,DA432334,0,2/9/2016,-3.6139,ot
allianz,DA432334,-500,3/9/2016,-2.391,eq
allianz,DA432334,0,3/9/2016,-6.6855,z4
allianz,DA432334,0,3/9/2016,-7.24,z1
allianz,DA432334,0,3/9/2016,-1.9079,e2
allianz,DA432334,0,3/9/2016,-3.3583,ot
allianz,DA602419,-1000,1/8/2016,-11.0765,z1
allianz,DA602419,0,1/8/2016,-4.4666,eq
allianz,DA602419,0,1/8/2016,-8.7111,z4
allianz,DA602419,0,1/8/2016,-5.0643,e2
allianz,DA602419,0,1/8/2016,-6.0486,ot
allianz,DA602419,-1000,2/9/2016,-12.0031,z1
allianz,DA602419,0,2/9/2016,-4.8403,eq
allianz,DA602419,0,2/9/2016,-9.4398,z4
allianz,DA602419,0,2/9/2016,-5.4879,e2
allianz,DA602419,0,2/9/2016,-6.5546,ot
allianz,DA602419,-1000,3/9/2016,-10.9547,z1
allianz,DA602419,0,3/9/2016,-4.4175,eq
allianz,DA602419,0,3/9/2016,-8.6153,z4
allianz,DA602419,0,3/9/2016,-5.0086,e2
allianz,DA602419,0,3/9/2016,-5.9821,ot
allianz,DA602390,0,3/18/2016,-14.9719,eq
allianz,DA602411,0,3/19/2016,-0.4268,z1
allianz,DA602411,0,3/19/2016,-0.1678,eq
allianz,DA602411,0,3/19/2016,-0.3359,z4
allianz,DA602411,0,3/19/2016,-0.1967,e2
allianz,DA602411,0,3/19/2016,-0.2348,ot
allianz,DA305209,-35046,1/15/2016,-608.5671,e3
allianz,DA305209,0,1/15/2016,-176.4564,e1
allianz,DA305209,0,1/15/2016,-163.3927,eq
allianz,DA305209,0,1/15/2016,-666.7322,z1
allianz,DA305209,0,1/15/2016,-95.0578,e2
allianz,DA305209,0,1/15/2016,-160.9087,ot
allianz,DA912168,0,1/22/2016,-0.7623,e3
allianz,DA912168,0,1/22/2016,-0.033,e1
allianz,DA912168,0,1/22/2016,-0.3154,eq
allianz,DA912168,0,1/22/2016,-0.6499,z1
allianz,DA912168,0,1/22/2016,-0.136,e2
allianz,DA912168,0,1/22/2016,-0.2048,ot
allianz,DA912169,0,1/22/2016,-0.7623,e3
allianz,DA912169,0,1/22/2016,-0.033,e1
allianz,DA912169,0,1/22/2016,-0.3154,eq
allianz,DA912169,0,1/22/2016,-0.6499,z1
allianz,DA912169,0,1/22/2016,-0.136,e2
allianz,DA912169,0,1/22/2016,-0.2048,ot
allianz,DA158853,0,3/1/2016,-0.1435,eq
allianz,DA158853,0,3/1/2016,-0.1873,bd
allianz,DA158853,0,3/1/2016,-0.4521,z4
allianz,DA158853,0,3/1/2016,-0.4155,z1
allianz,DA158853,0,3/1/2016,-0.0466,e2
allianz,DA158853,0,3/1/2016,-0.0908,ot
allianz,DA416272,0,3/18/2016,-6.2404,eq
allianz,DA417139,0,3/2/2016,-0.1335,eq
allianz,DA417139,0,3/2/2016,-0.3808,z4
allianz,DA417139,0,3/2/2016,-0.4368,z1
allianz,DA417139,0,3/2/2016,-0.1263,e2
allianz,DA417139,0,3/2/2016,-0.2229,eq
allianz,DA417139,0,3/18/2016,-4.3551,eq
allianz,DA421508,0,3/18/2016,-1.5648,eq
allianz,DA437478,0,1/21/2016,-0.1568,eq
allianz,DA437478,0,1/21/2016,-0.453,z4
allianz,DA437478,0,1/21/2016,-0.4692,z1
allianz,DA437478,0,1/21/2016,-0.1056,e2
allianz,DA437478,0,1/21/2016,-0.1883,ot
allianz,DA438676,0,1/22/2016,-0.0988,e1
allianz,DA438676,0,1/22/2016,-0.0416,eq
allianz,DA438676,0,1/22/2016,-2.0674,z2
allianz,DA438676,0,1/22/2016,-0.0577,e2
allianz,DA438676,0,1/22/2016,-0.0355,ot
allianz,DA439101,0,1/28/2016,-0.1494,eq
allianz,DA439101,0,1/28/2016,-0.4199,z4
allianz,DA439101,0,1/28/2016,-0.4517,z1
allianz,DA439101,0,1/28/2016,-0.1165,e2
allianz,DA439101,0,1/28/2016,-0.2054,ot
allianz,DA441918,0,3/3/2016,-0.1645,eq
allianz,DA441918,0,3/3/2016,-0.5069,z4
allianz,DA441918,0,3/3/2016,-0.4808,z1
allianz,DA441918,0,3/3/2016,-0.0688,e2
allianz,DA441918,0,3/3/2016,-0.1292,ot
allianz,DA453862,0,3/18/2016,-14.0456,eq
allianz,DA464524,0,3/25/2016,-0.11,eq
allianz,DA464524,0,3/25/2016,-0.4148,z4
allianz,DA464524,0,3/25/2016,-0.4497,z1
allianz,DA464524,0,3/25/2016,-0.1239,e2
allianz,DA464524,0,3/25/2016,-0.2165,ot
allianz,DA465023,0,3/30/2016,-30,gn
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
