company,account,amount,date,units,fund
allianz,DA218285,0,8/9/2017,-1176.88945,ot
allianz,DA455971,0,8/9/2017,-1150.7369,ot
allianz,DA192125,0,8/9/2017,-916.5111,ot
allianz,DA192126,0,8/9/2017,-916.5111,ot
allianz,DA934959,0,8/9/2017,-779.59495,ot
allianz,GAJ00406,0,8/9/2017,-760.4282,ot
allianz,DA219709,0,8/9/2017,-740.78405,ot
allianz,DA219708,0,8/9/2017,-740.78355,ot
allianz,DA203751,0,8/9/2017,-563.48355,ot
allianz,DA221527,0,8/9/2017,-546.68735,ot
allianz,DA602390,0,8/9/2017,-546.354,ot
allianz,DA602419,0,8/9/2017,-543.0612,ot
allianz,DA934954,0,8/9/2017,-529.4791,ot
allianz,DA008913,0,8/9/2017,-473.3664,ot
allianz,DA466519,0,8/9/2017,-436.6924,ot
allianz,DA416272,0,8/9/2017,-419.7204,ot
allianz,DA453514,0,8/9/2017,-403.0983,ot
allianz,DA305209,0,8/9/2017,-399.09315,ot
allianz,DA203751,0,8/9/2017,-379.353,z8
allianz,DA240932,0,8/9/2017,-372.3633,ot
allianz,DA260152,0,8/9/2017,-315.42745,ot
allianz,DA457966,0,8/9/2017,-312.1439,ot
allianz,DA303209,0,8/9/2017,-309.236,ot
allianz,DA417139,0,8/9/2017,-308.66,ot
allianz,DA448474,0,8/9/2017,-272.7659,ot
allianz,DA438465,0,8/9/2017,-267.2139,ot
allianz,DA441919,0,8/9/2017,-265.8512,ot
allianz,DA158853,0,8/9/2017,-257.5197,z8
allianz,DA456100,0,8/9/2017,-240.9472,ot
allianz,DA458468,0,8/9/2017,-235.3907,ot
allianz,DA412680,0,8/9/2017,-233.4231,ot
allianz,DA205422,0,8/9/2017,-227.2076,ot
allianz,DA244963,0,8/9/2017,-220.8368,ot
allianz,DA412681,0,8/9/2017,-193.0266,ot
allianz,DA303332,0,8/9/2017,-181.6475,ot
allianz,DA454829,0,8/9/2017,-146.4707,ot
allianz,DA214675,0,8/9/2017,-140.01035,ot
allianz,DA260965,0,8/9/2017,-133.20695,ot
allianz,DA432334,0,8/9/2017,-126.4163,ot
allianz,DA436284,0,8/9/2017,-121.07405,ot
allianz,DA448293,0,8/9/2017,-102.4098,ot
allianz,DA258423,0,8/9/2017,-100.8529,ot
allianz,DA304254,0,8/9/2017,-96.1445,ot
allianz,DA602411,0,8/9/2017,-89.7326,ot
allianz,DA421508,0,8/9/2017,-76.5379,ot
allianz,DA448675,0,8/9/2017,-65.9789,ot
allianz,DA439101,0,8/9/2017,-65.1556,ot
allianz,DA303265,0,8/9/2017,-60.1064,ot
allianz,DA448697,0,8/9/2017,-59.79685,ot
allianz,DA912168,0,8/9/2017,-57.9917,ot
allianz,DA912169,0,8/9/2017,-57.9917,ot
allianz,DA256838,0,8/9/2017,-56.7215,ot
allianz,DA258590,0,8/9/2017,-53.87705,ot
allianz,DA256839,0,8/9/2017,-52.7692,ot
allianz,DA258422,0,8/9/2017,-50.02645,ot
allianz,DA282188,0,8/9/2017,-47.41615,ot
