company,account,amount,date,units,fund
sbl,132002,,3/29/2019,2.403,e3
sbl,2020023091,,1/30/2019,12.118631,e2
sbl,2020023091,,2/27/2019,12.284896,e2
sbl,2020023091,,3/28/2019,12.251793,e2
sbl,2020023091,,1/30/2019,5.487917,e2
sbl,2020023091,,2/27/2019,5.579356,e2
sbl,2020023091,,3/28/2019,5.582686,e2
sbl,B16763003,,1/31/2019,0.02,gn
sbl,B16763003,,2/28/2019,0.06,gn
sbl,B16763003,,3/29/2019,0.12,gn
sbl,2020023091,,1/30/2019,3.664371,z1
sbl,2020023091,,2/27/2019,3.744298,z1
sbl,2020023091,,3/28/2019,3.760349,z1
