company,account,amount,date,units,fund
mfs,CARTERETJAMA,0,6/29/2012,-194.14,mm
mfs,CARTERETBBHI,388.35,6/29/2012,388.35,mm
mfs,CARTERETBBHI,0,6/29/2012,-367.98,mm
mfs,CARTERETSBHI,-3774.27,6/22/2012,-166.2205,e2
mfs,CARTERETSBHI,0,6/22/2012,-102.267,eq
mfs,CARTERETSBHI,0,6/22/2012,-20.1037,e3
mfs,CARTERETDCAL,298.43,6/29/2012,14.5092,e2
mfs,CARTERETDCAL,0,6/29/2012,7.1784,eq
mfs,CARTERETDCAL,0,6/29/2012,1.228,e3
mfs,CARTERETJDAP,1826.3,6/29/2012,3039.5,e2
mfs,CARTERETJDAP,0,6/29/2012,1503.867,eq
mfs,CARTERETJDAP,0,6/29/2012,570.9133,e3
mfs,CARTERETJDAP,0,6/29/2012,-70000,mm
mfs,CARTERETRDAP,1346.44,6/29/2012,65.5654,e2
mfs,CARTERETRDAP,0,6/29/2012,32.42,eq
mfs,CARTERETRDAP,0,6/29/2012,5.547,e3
mfs,CARTERETCDEJ,253.82,6/29/2012,12.2883,e2
mfs,CARTERETCDEJ,0,6/29/2012,6.0782,eq
mfs,CARTERETCDEJ,0,6/29/2012,1.0389,e3
mfs,CARTERETJFLI,522.9,6/29/2012,25.4903,e2
mfs,CARTERETJFLI,0,6/29/2012,12.601,eq
mfs,CARTERETJFLI,0,6/29/2012,2.157,e3
mfs,CARTERETJHOM,958.28,6/29/2012,46.7073,e2
mfs,CARTERETJHOM,0,6/29/2012,23.0923,eq
mfs,CARTERETJHOM,0,6/29/2012,3.952,e3
mfs,CARTERETJJOH,2454.45,6/29/2012,192.1735,e2
mfs,CARTERETJJOH,1651.59,6/29/2012,94.8372,eq
mfs,CARTERETJJOH,0,6/29/2012,16.2638,e3
mfs,CARTERETDKHA,553.29,6/29/2012,29.956,e2
mfs,CARTERETDKHA,0,6/29/2012,13.3276,eq
mfs,CARTERETDKHA,0,6/29/2012,2.2812,e3
mfs,CARTERETHLAC,638.04,6/29/2012,-7786.97,mm
mfs,CARTERETHLAC,269.22,6/29/2012,-1175.06,bd
mfs,CARTERETHLAC,-40000,6/29/2012,-424.542,eq
mfs,CARTERETHLAC,0,6/29/2012,-313.553,e3
mfs,CARTERETAMAT,423.81,6/29/2012,20.6707,e2
mfs,CARTERETAMAT,0,6/29/2012,10.2199,eq
mfs,CARTERETAMAT,0,6/29/2012,1.7487,e3
mfs,CARTERETFMED,237.5,6/29/2012,15.1019,e2
mfs,CARTERETFMED,76.02,6/29/2012,7.4755,eq
mfs,CARTERETFMED,0,6/29/2012,1.2756,e3
mfs,CARTERETEMIT,145.03,6/29/2012,28.3633,e2
mfs,CARTERETEMIT,436.94,6/29/2012,14.0208,eq
mfs,CARTERETEMIT,0,6/29/2012,2.3998,e3
mfs,CARTERETJMUD,3137.97,6/29/2012,3137.97,mm
mfs,CARTERETRRAM,139.42,6/29/2012,-68.88,mm
mfs,CARTERETMSAM,1015.94,6/29/2012,925.1,mm
mfs,CARTERETMSIK,372.16,6/29/2012,372.16,mm
mfs,CARTERETCSIV,1813.73,6/29/2012,274.94,mm
mfs,CARTERETJVEL,399.89,6/29/2012,47.1518,e2
mfs,CARTERETJVEL,567.97,6/29/2012,23.3153,eq
mfs,CARTERETJVEL,0,6/29/2012,3.9884,e3
mfs,CARTERETGVOG,2003.68,6/29/2012,-1386.46,mm
mfs,CARTERETNVOJ,867.46,6/29/2012,176.01,mm
mfs,CARTERETDZAV,146.43,6/29/2012,7.1435,e2
mfs,CARTERETDZAV,0,6/29/2012,3.5316,eq
mfs,CARTERETDZAV,0,6/29/2012,0.6042,e3
