company,account,amount,date,units,fund
mfs,CARTERETJAMA,0,9/28/2012,983.46,mm
mfs,CARTERETJBER,0,9/28/2012,-0.20374,e2
mfs,CARTERETJBER,0,9/28/2012,-0.3153,eq
mfs,CARTERETJBER,0,9/28/2012,-0.0212,e3
mfs,CARTERETBBHI,340.48,9/28/2012,340.48,mm
mfs,CARTERETBBHI,0,9/28/2012,561.9,mm
mfs,CARTERETDCAL,126.26,9/28/2012,5.5546,e2
mfs,CARTERETDCAL,0,9/28/2012,2.6698,eq
mfs,CARTERETDCAL,0,9/28/2012,0.4739,e3
mfs,CARTERETJDAP,1695.85,9/28/2012,-3414.65,e2
mfs,CARTERETJDAP,0,9/28/2012,-2877.05,eq
mfs,CARTERETJDAP,0,9/28/2012,-1254.38,e3
mfs,CARTERETJDAP,0,9/28/2012,8296.187,bd
mfs,CARTERETRDAP,1440.89,9/28/2012,70.5264,e2
mfs,CARTERETRDAP,0,9/28/2012,33.752,eq
mfs,CARTERETRDAP,0,9/28/2012,5.7612,e3
mfs,CARTERETCDEJ,227.95,9/28/2012,11.1259,e2
mfs,CARTERETCDEJ,0,9/28/2012,5.3318,eq
mfs,CARTERETCDEJ,0,9/28/2012,0.9102,e3
mfs,CARTERETJFLI,485.55,9/28/2012,23.7737,e2
mfs,CARTERETJFLI,0,9/28/2012,11.3753,eq
mfs,CARTERETJFLI,0,9/28/2012,1.9417,e3
mfs,CARTERETJHOM,877.13,9/28/2012,42.9011,e2
mfs,CARTERETJHOM,0,9/28/2012,20.5398,eq
mfs,CARTERETJHOM,0,9/28/2012,3.5057,e3
mfs,CARTERETJJOH,2093.41,9/28/2012,160.9842,e2
mfs,CARTERETJJOH,1227.8,9/28/2012,77.102,eq
mfs,CARTERETJJOH,0,9/28/2012,13.1622,e3
mfs,CARTERETDKHA,476.19,9/28/2012,23.2881,e2
mfs,CARTERETDKHA,0,9/28/2012,11.1496,eq
mfs,CARTERETDKHA,0,9/28/2012,1.9034,e3
mfs,CARTERETJLAC,0,9/28/2012,-25,mm
mfs,CARTERETHLAC,592.47,9/28/2012,162.24,mm
mfs,CARTERETHLAC,230.76,9/28/2012,22.6259,bd
mfs,CARTERETHLAC,0,9/28/2012,8.4414,eq
mfs,CARTERETHLAC,0,9/28/2012,6.4859,e3
mfs,CARTERETAMAT,360.83,9/28/2012,17.64,e2
mfs,CARTERETAMAT,0,9/28/2012,8.4465,eq
mfs,CARTERETAMAT,0,9/28/2012,1.4424,e3
mfs,CARTERETFMED,230.76,9/28/2012,11.296,e2
mfs,CARTERETFMED,0,9/28/2012,5.405,eq
mfs,CARTERETFMED,0,9/28/2012,0.9228,e3
mfs,CARTERETEMIT,134.84,9/28/2012,25.33,e2
mfs,CARTERETEMIT,405.73,9/28/2012,12.0332,eq
mfs,CARTERETEMIT,0,9/28/2012,2.0487,e3
mfs,CARTERETJMUD,3035.1,9/28/2012,3022.6,mm
mfs,CARTERETMPAL,0,9/28/2012,-12.5,mm
mfs,CARTERETRRAM,138.67,9/28/2012,419.79,mm
mfs,CARTERETMSAM,869.79,9/28/2012,1599.1,mm
mfs,CARTERETMSIK,371.89,9/28/2012,371.89,mm
mfs,CARTERETCSIV,1848.75,9/28/2012,5405.92,mm
mfs,CARTERETJVEL,416.08,9/28/2012,44.8151,e2
mfs,CARTERETJVEL,527.41,9/28/2012,21.61,eq
mfs,CARTERETJVEL,0,9/28/2012,3.6438,e3
mfs,CARTERETGVOG,2050.66,9/28/2012,9100.63,mm
mfs,CARTERETNVOJ,782.65,9/28/2012,1829.76,mm
mfs,CARTERETDZAV,151.26,9/28/2012,7.4085,e2
mfs,CARTERETDZAV,0,9/28/2012,3.5446,eq
mfs,CARTERETDZAV,0,9/28/2012,0.6051,e3
