company,account,amount,date,units,fund,,
sbl,132002,$0.00 ,6/6/2013,-2105.2975,eq,,
sbl,132002,$0.00 ,6/6/2013,330.0272,z9,,
sbl,132002,$0.00 ,6/6/2013,-1050.67,e2,,
sbl,132002,$0.00 ,6/6/2013,376.8762,z9,,
sbl,132002,$0.00 ,4/24/2013,358.4244,e2,,
sbl,132002,$0.00 ,4/24/2013,-214.2154,z4,,
sbl,800727ALAACH,$0.00 ,6/6/2013,-2915.4582,ot,,
sbl,800727ALAACH,$0.00 ,6/6/2013,2106.873,z2,,
sbl,800727ALAACH,$0.00 ,6/6/2013,-2062.0558,e4,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
