company,account,amount,date,units,fund
pac,VR00018625,$0.00 ,4/1/2014,-50000,gn
pac,VR00018625,$0.00 ,4/1/2014,756.6392,e3
pac,VR00018625,$0.00 ,4/1/2014,405.8554,eq
pac,VR00018625,$0.00 ,4/1/2014,1476.6639,e2
pac,VR00018625,$0.00 ,5/1/2014,-50000,gn
pac,VR00018625,$0.00 ,5/1/2014,745.9968,e3
pac,VR00018625,$0.00 ,5/1/2014,408.9216,eq
pac,VR00018625,$0.00 ,5/1/2014,1534.5251,e2
pac,VR00018625,$0.00 ,6/1/2014,-50000,gn
pac,VR00018625,$0.00 ,6/1/2014,733.2965,e3
pac,VR00018625,$0.00 ,6/1/2014,398.8809,eq
pac,VR00018625,$0.00 ,6/1/2014,1510.7694,e2
pac,VR07017728,$0.00 ,4/1/2014,-3529.7149,mm
pac,VR07017728,$0.00 ,4/1/2014,375.6462,e3
pac,VR07017728,$0.00 ,4/1/2014,914.3699,eq
pac,VR07017728,$0.00 ,4/1/2014,817.0672,e2
pac,VR07017728,$0.00 ,5/1/2014,-3400.1714,mm
pac,VR07017728,$0.00 ,5/1/2014,370.5451,e3
pac,VR07017728,$0.00 ,5/1/2014,921.7325,eq
pac,VR07017728,$0.00 ,5/1/2014,849.5025,e2
