company,account,amount,date,units,fund
virtus,5805829,0,10/22/2019,-503.1,gn
virtus,5805829,0,10/22/2019,-2080.35,eq
virtus,5805829,0,10/22/2019,-451.136,e1
virtus,5805829,0,10/22/2019,-2440.011,z1
virtus,5805829,0,10/22/2019,-887.054,z6
virtus,649446312,18624.76,10/22/2019,503.1,gn
virtus,649446312,0,12/20/2019,3.107,gn
virtus,649446312,34617.04,10/22/2019,2080.351,eq
virtus,649446312,0,12/20/2019,56.365,eq
virtus,649446312,13840.88,10/22/2019,451.137,e1
virtus,649446312,0,12/20/2019,1.309,e1
virtus,649446312,0,12/20/2019,32.075,e1
virtus,649446312,22057.7,10/22/2019,2440.011,z1
virtus,649446312,0,10/31/2019,2.827,z1
virtus,649446312,0,11/29/2019,9.16,z1
virtus,649446312,0,12/31/2019,13.552,z1
virtus,649446312,12090.56,10/22/2019,887.055,z6
virtus,649446312,0,12/20/2019,10.777,z6
virtus,649446312,0,12/20/2019,49.805,z6
virtus,649446313,18624.76,10/22/2019,503.1,gn
virtus,649446313,0,12/20/2019,3.107,gn
virtus,649446313,34617.04,10/22/2019,2080.351,eq
virtus,649446313,0,12/20/2019,56.365,eq
virtus,649446313,13840.88,10/22/2019,451.137,e1
virtus,649446313,0,12/20/2019,1.309,e1
virtus,649446313,0,12/20/2019,32.075,e1
virtus,649446313,22057.7,10/22/2019,2440.011,z1
virtus,649446313,0,10/31/2019,2.827,z1
virtus,649446313,0,11/29/2019,9.16,z1
virtus,649446313,0,12/31/2019,13.552,z1
virtus,649446313,12090.56,10/22/2019,887.055,z6
virtus,649446313,0,12/20/2019,10.777,z6
virtus,649446313,0,12/20/2019,49.805,z6
