company,account,amount,date,units,fund
pac,VR07035341,0,3/6/2012,-5299.5783,eq
pac,VR07010702,0,3/6/2012,-628.15,eq
pac,VR07045127,0,3/6/2012,-1558.0278,eq
pac,VR08008964,0,3/6/2012,-1951.4225,eq
pac,VR07035168,0,3/6/2012,-1143.9761,eq
pac,VR08002752,0,3/6/2012,-6851.3323,eq
pac,N208002068,0,3/6/2012,-649.1468,eq
pac,N208002063,0,3/6/2012,-649.1468,eq
pac,VR07035341,0,3/6/2012,-3201.044,e2
pac,VR07010702,0,3/6/2012,-350.1225,e2
pac,VR07045127,0,3/6/2012,-862.049,e2
pac,VR08008964,0,3/6/2012,-1002.42325,e2
pac,VR07035168,0,3/6/2012,-662.7705,e2
pac,VR08002752,0,3/6/2012,-3561.316,e2
pac,N208002068,0,3/6/2012,-329.38175,e2
pac,N208002063,0,3/6/2012,-329.38175,e2
pac,VR07035341,0,3/6/2012,9848.6394,bd
pac,VR07010702,0,3/6/2012,1116.7693,bd
pac,VR07045127,0,3/6/2012,2758.9608,bd
pac,VR08008964,0,3/6/2012,3322.1224,bd
pac,VR07035168,0,3/6/2012,2077.241,bd
pac,VR08002752,0,3/6/2012,11736.0737,bd
pac,N208002068,0,3/6/2012,1025.8335,bd
pac,N208002063,0,3/6/2012,14025.8335,bd
