company,account,amount,date,units,fund
sbl,900262DEBBUT,$0.00 ,10/5/2015,-12.5,gn
sbl,280135CONMED,$500.00 ,10/13/2015,500,gn
sbl,900262DEBBUT,"$3,277.84 ",10/15/2015,3277.84,gn
sbl,900262DEBBUT,$148.24 ,11/13/2015,148.24,gn
sbl,900262DEBBUT,$148.24 ,12/15/2015,148.24,gn
sbl,900262DEBBUT,"$1,458.87 ",12/22/2015,1458.87,gn
sbl,900262DEBBUT,"($9,000.00)",12/24/2015,-9000,gn
sbl,900262DEBBUT,($125.00),12/24/2015,-125,gn
sbl,280135CONMED,$500.00 ,10/26/2015,500,gn
sbl,280135CONMED,$500.00 ,11/16/2015,500,gn
sbl,280135CONMED,$500.00 ,11/30/2015,500,gn
sbl,280135CONMED,$500.00 ,12/14/2015,500,gn
sbl,280135CONMED,$500.00 ,12/28/2015,500,gn
sbl,3040001032,"($5,062.00)",11/11/2015,-5062,gn
