company,account,amount,date,units,fund
sbl,332676ALFTOT,($365.00),5/12/2014,-365,gn
sbl,2370003226,"($1,000.00)",5/27/2014,-74.682599,z2
sbl,2370003226,"($1,000.00)",4/25/2014,-74.404762,z2
sbl,2370003227,($418.59),4/25/2014,-31.029652,ot
sbl,2370003227,($416.91),5/27/2014,-30.387026,ot
sbl,2370003227,($390.23),4/4/2014,-28.651248,ot
sbl,2370003227,($240.66),4/25/2014,-21.938013,e4
sbl,2370003227,($244.48),5/27/2014,-21.483304,e4
sbl,2370003227,($227.08),4/4/2014,-20.256913,e4
sbl,2370003227,($170.78),4/25/2014,-17.426531,e2
sbl,2370003227,($172.03),5/27/2014,-17.066468,e2
sbl,2370003227,($223.03),4/25/2014,-16.594494,z2
sbl,2370003227,($217.60),5/27/2014,-16.250934,z2
sbl,2370003227,($158.50),4/4/2014,-16.091371,e2
sbl,2370003227,($207.93),4/4/2014,-15.322771,z2
sbl,2370003227,($121.94),4/25/2014,-8.635977,e1
sbl,2370003227,($123.98),5/27/2014,-8.457026,e1
sbl,2370003227,($116.26),4/4/2014,-7.973937,e1
sbl,2370003226,,6/27/2014,-0.287712,z2
sbl,2370003226,,4/29/2014,-0.287425,z2
sbl,2370003226,,5/29/2014,-0.251488,z2
sbl,2370003227,,6/27/2014,-0.195699,ot
sbl,2370003227,,4/29/2014,-0.183493,ot
sbl,2370003227,,5/29/2014,-0.171533,ot
sbl,2370003226,,6/27/2014,-0.152239,e2
sbl,2370003227,,6/27/2014,-0.138197,e4
sbl,2370003226,,4/29/2014,-0.137335,e2
sbl,2370003226,,5/29/2014,-0.133069,e2
sbl,2370003227,,4/29/2014,-0.12874,e4
sbl,2370003227,,5/29/2014,-0.120493,e4
sbl,2370003226,,6/27/2014,-0.120172,e4
sbl,2370003227,,6/27/2014,-0.110448,e2
sbl,2370003226,,4/29/2014,-0.107888,e4
sbl,2370003226,,5/29/2014,-0.105541,e4
sbl,2370003227,,6/27/2014,-0.104489,z2
sbl,2370003227,,4/29/2014,-0.102747,e2
sbl,2370003227,,4/29/2014,-0.098802,z2
sbl,2370003227,,5/29/2014,-0.096326,e2
sbl,2370003227,,5/29/2014,-0.091518,z2
sbl,2370003226,,6/27/2014,-0.086022,ot
sbl,2370003226,,4/29/2014,-0.077377,ot
sbl,2370003226,,6/27/2014,-0.075297,e1
sbl,2370003226,,5/29/2014,-0.075182,ot
sbl,2370003226,,4/29/2014,-0.067712,e1
sbl,2370003226,,5/29/2014,-0.065986,e1
sbl,2370003227,,6/27/2014,-0.054822,e1
sbl,2370003227,,4/29/2014,-0.050606,e1
sbl,2370003227,,5/29/2014,-0.047619,e1
sbl,2370003226,,4/29/2014,0.455453,e1
sbl,2370003226,,5/29/2014,0.458503,e1
sbl,2370003226,,6/27/2014,0.461691,e1
sbl,2370003227,,5/29/2014,0.497279,e1
sbl,2370003227,,6/27/2014,0.501982,e1
sbl,2370003227,,4/29/2014,0.515324,e1
sbl,2370003226,,4/29/2014,0.52395,ot
sbl,2370003226,,5/29/2014,0.527007,ot
sbl,2370003226,,6/27/2014,0.529749,ot
sbl,2370003226,,4/29/2014,0.728921,e4
sbl,2370003226,,5/29/2014,0.736148,e4
sbl,2370003226,,6/27/2014,0.738197,e4
sbl,2370003226,,4/29/2014,0.923703,e2
sbl,2370003226,,5/29/2014,0.929494,e2
sbl,2370003226,,6/27/2014,0.932338,e2
sbl,2370003227,,5/29/2014,0.959077,z2
sbl,2370003227,,6/27/2014,0.96468,z2
sbl,2370003227,,4/29/2014,1,z2
sbl,2370003227,,5/29/2014,1.008937,e2
sbl,2370003227,,6/27/2014,1.012935,e2
sbl,2370003227,,4/29/2014,1.045778,e2
sbl,2370003227,,5/29/2014,1.265611,e4
sbl,2370003227,,6/27/2014,1.269528,e4
sbl,2370003227,,4/29/2014,1.30553,e4
sbl,2370003226,,5/29/2014,1.754464,z2
sbl,2370003226,,6/27/2014,1.763061,z2
sbl,2370003227,,5/29/2014,1.794161,ot
sbl,2370003227,,6/27/2014,1.802867,ot
sbl,2370003227,,4/29/2014,1.859985,ot
sbl,2370003226,,4/29/2014,1.940868,z2
sbl,132002000144441920,$56.59 ,6/30/2014,2.135,e4
sbl,132002000144441920,$69.39 ,5/30/2014,2.6197,e4
sbl,132002000144441920,$70.34 ,4/30/2014,2.6696,e4
sbl,132002000144441920,$40.91 ,6/30/2014,3.432,e3
sbl,120527FREALL,$347.12 ,6/9/2014,16.0952,mm
sbl,280135CONMED,$60.00 ,4/14/2014,60,gn
sbl,280135CONMED,$60.00 ,5/2/2014,60,gn
sbl,280135STUFLI,$60.00 ,4/14/2014,60,gn
sbl,280135STUFLI,$60.00 ,5/2/2014,60,gn
sbl,280135STUFLI,$80.00 ,5/14/2014,80,gn
sbl,280135STUFLI,$80.00 ,5/14/2014,80,gn
sbl,280135STUFLI,$80.00 ,5/28/2014,80,gn
sbl,280135STUFLI,$80.00 ,6/16/2014,80,gn
sbl,280135CONMED,$100.00 ,5/14/2014,100,gn
sbl,280135CONMED,$100.00 ,5/14/2014,100,gn
sbl,280135CONMED,$100.00 ,5/28/2014,100,gn
sbl,280135CONMED,$100.00 ,6/16/2014,100,gn
sbl,280135CONMED,$120.00 ,4/14/2014,120,gn
sbl,280135CONMED,$120.00 ,4/14/2014,120,gn
sbl,280135CONMED,$120.00 ,5/2/2014,120,gn
sbl,280135CONMED,$120.00 ,5/2/2014,120,gn
sbl,280135STUFLI,$120.00 ,4/14/2014,120,gn
sbl,280135STUFLI,$120.00 ,4/14/2014,120,gn
sbl,280135STUFLI,$120.00 ,5/2/2014,120,gn
sbl,280135STUFLI,$120.00 ,5/2/2014,120,gn
sbl,280135STUFLI,$160.00 ,5/14/2014,160,gn
sbl,280135STUFLI,$160.00 ,5/14/2014,160,gn
sbl,280135STUFLI,$160.00 ,5/14/2014,160,gn
sbl,280135STUFLI,$160.00 ,5/14/2014,160,gn
sbl,280135STUFLI,$160.00 ,5/28/2014,160,gn
sbl,280135STUFLI,$160.00 ,5/28/2014,160,gn
sbl,280135STUFLI,$160.00 ,6/16/2014,160,gn
sbl,280135STUFLI,$160.00 ,6/16/2014,160,gn
sbl,280135CONMED,$200.00 ,5/14/2014,200,gn
sbl,280135CONMED,$200.00 ,5/14/2014,200,gn
sbl,280135CONMED,$200.00 ,5/14/2014,200,gn
sbl,280135CONMED,$200.00 ,5/14/2014,200,gn
sbl,280135CONMED,$200.00 ,5/28/2014,200,gn
