company,account,amount,date,units,fund
sec,JAKEFSIMPLE,0,7/8/2015,350.479,eq
sec,JAKEFSIMPLE,0,7/8/2015,213.364,eq
sec,JAKEFSIMPLE,0,7/8/2015,448.653,e4
sec,JAKEFSIMPLE,0,7/8/2015,255.608,e2
sec,JAKEFSIMPLE,0,7/8/2015,-490.714,e1
sec,JAKEFSIMPLE,0,7/8/2015,-516.486,e4
sec,JAKEFSIMPLE,0,7/8/2015,-399.042,e3
sec,JAKEFSIMPLE,0,7/8/2015,-4619.315,z5
sec,PAULDSIMPLE,0,7/8/2015,191.064,eq
sec,PAULDSIMPLE,0,7/8/2015,216.006,e4
sec,PAULDSIMPLE,0,7/8/2015,115.549,e2
sec,PAULDSIMPLE,0,7/8/2015,-267.514,e1
sec,PAULDSIMPLE,0,7/8/2015,-248.665,ot
sec,PAULDSIMPLE,0,7/8/2015,-180.389,e3
sec,PAULDSIMPLE,0,7/8/2015,-2081.45,z5
sec,PAULDSIMPLE,0,7/8/2015,95.13,eq
sec,PAULFSIMPLE,0,7/8/2015,147.367,eq
sec,PAULFSIMPLE,0,7/8/2015,30.217,eq
sec,PAULFSIMPLE,0,7/8/2015,115.823,e4
sec,PAULFSIMPLE,0,7/8/2015,55.631,e2
sec,PAULFSIMPLE,0,7/8/2015,-206.332,e1
sec,PAULFSIMPLE,0,7/8/2015,-133.334,ot
sec,PAULFSIMPLE,0,7/8/2015,-86.848,e3
sec,PAULFSIMPLE,0,7/8/2015,-654.19,z5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
