company,account,amount,date,units,fund
sec,JAKEFSIMPLE,147,1/9/2012,7.308,eq
sec,JAKEFSIMPLE,200,1/9/2012,9.943,eq
sec,JAKEFSIMPLE,160,2/6/2012,7.548,eq
sec,JAKEFSIMPLE,117.6,2/6/2012,5.548,eq
sec,JAKEFSIMPLE,160,3/5/2012,7.394,eq
sec,JAKEFSIMPLE,117.6,3/5/2012,5.435,eq
sec,JAKEFSIMPLE,73.5,1/9/2012,7.21,e4
sec,JAKEFSIMPLE,100,1/9/2012,9.809,e4
sec,JAKEFSIMPLE,58.8,2/6/2012,5.249,e4
sec,JAKEFSIMPLE,80,2/6/2012,7.142,e4
sec,JAKEFSIMPLE,80,3/5/2012,7.036,e4
sec,JAKEFSIMPLE,58.8,3/5/2012,5.171,e4
sec,JAKEFSIMPLE,200,1/9/2012,13.453,bd
sec,JAKEFSIMPLE,147,1/9/2012,9.888,bd
sec,JAKEFSIMPLE,117.6,2/6/2012,7.139,bd
sec,JAKEFSIMPLE,160,2/6/2012,9.713,bd
sec,JAKEFSIMPLE,117.6,3/5/2012,7.278,bd
sec,JAKEFSIMPLE,160,3/5/2012,9.903,bd
sec,PAULDSIMPLE,120,1/9/2012,5.966,eq
sec,PAULDSIMPLE,48.6,1/9/2012,2.416,eq
sec,PAULDSIMPLE,32.4,2/6/2012,1.529,eq
sec,PAULDSIMPLE,80,2/6/2012,3.774,eq
sec,PAULDSIMPLE,80,3/5/2012,3.697,eq
sec,PAULDSIMPLE,32.4,3/5/2012,1.497,eq
sec,PAULDSIMPLE,60,1/9/2012,5.886,e4
sec,PAULDSIMPLE,24.3,1/9/2012,2.384,e4
sec,PAULDSIMPLE,40,2/6/2012,3.571,e4
sec,PAULDSIMPLE,16.2,2/6/2012,1.446,e4
sec,PAULDSIMPLE,40,3/5/2012,3.518,e4
sec,PAULDSIMPLE,16.2,3/5/2012,1.425,e4
sec,PAULDSIMPLE,48.6,1/9/2012,3.269,bd
sec,PAULDSIMPLE,120,1/9/2012,8.072,bd
sec,PAULDSIMPLE,80,2/6/2012,4.857,bd
sec,PAULDSIMPLE,32.4,2/6/2012,1.967,bd
sec,PAULDSIMPLE,32.4,3/5/2012,2.005,bd
sec,PAULDSIMPLE,80,3/5/2012,4.951,bd
sec,PAULFSIMPLE,100,1/9/2012,4.971,eq
sec,PAULFSIMPLE,90,1/9/2012,4.474,eq
sec,PAULFSIMPLE,80,2/6/2012,3.774,eq
sec,PAULFSIMPLE,72,2/6/2012,3.397,eq
sec,PAULFSIMPLE,72,3/5/2012,3.328,eq
sec,PAULFSIMPLE,80,3/5/2012,3.697,eq
sec,PAULFSIMPLE,45,1/9/2012,4.414,e4
sec,PAULFSIMPLE,50,1/9/2012,4.905,e4
sec,PAULFSIMPLE,36,2/6/2012,3.214,e4
sec,PAULFSIMPLE,40,2/6/2012,3.571,e4
sec,PAULFSIMPLE,40,3/5/2012,3.518,e4
sec,PAULFSIMPLE,36,3/5/2012,3.166,e4
sec,PAULFSIMPLE,90,1/9/2012,6.054,bd
sec,PAULFSIMPLE,100,1/9/2012,6.727,bd
sec,PAULFSIMPLE,80,2/6/2012,4.857,bd
sec,PAULFSIMPLE,72,2/6/2012,4.371,bd
sec,PAULFSIMPLE,80,3/5/2012,4.957,bd
sec,PAULFSIMPLE,72,3/5/2012,4.456,bd
sec,PATFSIMPLE,30,1/9/2012,1.491,eq
sec,PATFSIMPLE,20.25,1/9/2012,1.007,eq
sec,PATFSIMPLE,13.5,2/6/2012,0.637,eq
sec,PATFSIMPLE,20,2/6/2012,0.944,eq
sec,PATFSIMPLE,20,3/5/2012,0.924,eq
sec,PATFSIMPLE,13.5,3/5/2012,0.624,eq
sec,PATFSIMPLE,60,1/9/2012,60,mm
sec,PATFSIMPLE,40.5,1/9/2012,4.5,mm
sec,PATFSIMPLE,27,2/6/2012,27,mm
sec,PATFSIMPLE,40,2/6/2012,40,mm
sec,PATFSIMPLE,40,3/5/2012,40,mm
sec,PATFSIMPLE,27,3/5/2012,27,mm
sec,PATFSIMPLE,30,1/9/2012,2.018,bd
sec,PATFSIMPLE,20.25,1/9/2012,1.362,bd
sec,PATFSIMPLE,13.5,2/6/2012,0.82,bd
sec,PATFSIMPLE,20,2/6/2012,1.214,bd
sec,PATFSIMPLE,13.5,3/5/2012,0.836,bd
sec,PATFSIMPLE,20,3/5/2012,1.238,bd
