company,account,amount,date,units,fund
sec,JAKEFSIMPLE,160,7/8/2014,6.332,eq
sec,JAKEFSIMPLE,72,7/8/2014,2.849,eq
sec,JAKEFSIMPLE,160,8/5/2014,6.47,eq
sec,JAKEFSIMPLE,72,8/5/2014,2.911,eq
sec,JAKEFSIMPLE,200,9/9/2014,7.785,eq
sec,JAKEFSIMPLE,90,9/9/2014,3.503,eq
sec,JAKEFSIMPLE,80,7/8/2014,5.453,e4
sec,JAKEFSIMPLE,36,7/8/2014,2.454,e4
sec,JAKEFSIMPLE,80,8/5/2014,5.559,e4
sec,JAKEFSIMPLE,36,8/5/2014,2.502,e4
sec,JAKEFSIMPLE,100,9/9/2014,6.831,e4
sec,JAKEFSIMPLE,45,9/9/2014,3.074,e4
sec,JAKEFSIMPLE,0,9/30/2014,6.502,e4
sec,JAKEFSIMPLE,160,7/8/2014,3.348,e2
sec,JAKEFSIMPLE,72,7/8/2014,1.507,e2
sec,JAKEFSIMPLE,160,8/5/2014,3.428,e2
sec,JAKEFSIMPLE,72,8/5/2014,1.543,e2
sec,JAKEFSIMPLE,200,9/9/2014,4.092,e2
sec,JAKEFSIMPLE,90,9/9/2014,1.841,e2
sec,JAKEFSIMPLE,0,9/30/2014,5.115,ot
sec,PAULFSIMPLE,80,7/8/2014,3.166,eq
sec,PAULFSIMPLE,72,7/8/2014,2.849,eq
sec,PAULFSIMPLE,72,8/5/2014,2.911,eq
sec,PAULFSIMPLE,80,8/5/2014,3.235,eq
sec,PAULFSIMPLE,100,9/9/2014,3.893,eq
sec,PAULFSIMPLE,90,9/9/2014,3.503,eq
sec,PAULFSIMPLE,40,7/8/2014,2.727,e4
sec,PAULFSIMPLE,36,7/8/2014,2.454,e4
sec,PAULFSIMPLE,36,8/5/2014,2.502,e4
sec,PAULFSIMPLE,40,8/5/2014,2.78,e4
sec,PAULFSIMPLE,50,9/9/2014,3.415,e4
sec,PAULFSIMPLE,45,9/9/2014,3.074,e4
sec,PAULFSIMPLE,0,9/30/2014,3.203,e4
sec,PAULFSIMPLE,80,7/8/2014,1.674,e2
sec,PAULFSIMPLE,72,7/8/2014,1.507,e2
sec,PAULFSIMPLE,72,8/5/2014,1.543,e2
sec,PAULFSIMPLE,80,8/5/2014,1.714,e2
sec,PAULFSIMPLE,100,9/9/2014,2.046,e2
sec,PAULFSIMPLE,90,9/9/2014,1.841,e2
sec,PAULFSIMPLE,0,9/30/2014,1.108,ot
sec,PAULDSIMPLE,80,7/8/2014,3.134,eq
sec,PAULDSIMPLE,32.4,7/8/2014,1.269,eq
sec,PAULDSIMPLE,80,8/5/2014,3.201,eq
sec,PAULDSIMPLE,32.4,8/5/2014,1.297,eq
sec,PAULDSIMPLE,100,9/9/2014,3.852,eq
sec,PAULDSIMPLE,40.5,9/9/2014,1.56,eq
sec,PAULDSIMPLE,40,7/8/2014,2.699,e4
sec,PAULDSIMPLE,16.2,7/8/2014,1.093,e4
sec,PAULDSIMPLE,40,8/5/2014,2.751,e4
sec,PAULDSIMPLE,16.2,8/5/2014,1.114,e4
sec,PAULDSIMPLE,50,9/9/2014,3.381,e4
sec,PAULDSIMPLE,20.25,9/9/2014,1.369,e4
sec,PAULDSIMPLE,0,9/30/2014,3.326,e4
sec,PAULDSIMPLE,80,7/8/2014,1.657,e2
sec,PAULDSIMPLE,32.4,7/8/2014,0.671,e2
sec,PAULDSIMPLE,80,8/5/2014,1.696,e2
sec,PAULDSIMPLE,32.4,8/5/2014,0.687,e2
sec,PAULDSIMPLE,100,9/9/2014,2.024,e2
sec,PAULDSIMPLE,40.5,9/9/2014,0.82,e2
sec,PAULDSIMPLE,0,9/30/2014,2.066,ot
sec,PATFSIMPLE,80,7/8/2014,80,mm
sec,PATFSIMPLE,54,7/8/2014,54,mm
sec,PATFSIMPLE,80,4/22/2014,80,mm
sec,PATFSIMPLE,54,4/22/2014,54,mm
sec,PATFSIMPLE,100,8/5/2014,100,mm
sec,PATFSIMPLE,67.5,8/5/2014,67.5,mm
sec,PATFSIMPLE,0,9/30/2014,0.01,e4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
