company,account,amount,date,units,fund
sec,JAKEFSIMPLE,0,1/31/2018,1.5,mm
sec,JAKEFSIMPLE,0,2/28/2018,14.86,mm
sec,JAKEFSIMPLE,0,3/29/2018,19.95,mm
sec,JAKEFSIMPLE,0,3/29/2018,6.361,e4
sec,PATFSIMPLE,0,3/29/2018,0.199,e4
sec,PATFSIMPLE,0,1/31/2018,0.12,mm
sec,PATFSIMPLE,0,2/28/2018,0.12,mm
sec,PATFSIMPLE,0,3/31/2018,0.16,mm
sec,PAULDSIMPLE,0,3/29/2018,3.675,e4
sec,PAULFSIMPLE,0,3/29/2018,4.136,e4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
