company,account,amount,date,units,fund
sec,PAULDSIMPLE,0,10/10/2012,-15.532,z1
sec,PAULDSIMPLE,0,11/13/2012,-14.74,z1
sec,PAULDSIMPLE,0,12/10/2012,-15.536,z1
sec,PAULDSIMPLE,0,10/10/2012,-9.559,ot
sec,PAULDSIMPLE,0,11/13/2012,-9.125,ot
sec,PAULDSIMPLE,0,12/10/2012,-9.885,ot
sec,PAULDSIMPLE,0,10/10/2012,14.223,z3
sec,PAULDSIMPLE,0,11/13/2012,13.489,z3
sec,PAULDSIMPLE,0,12/10/2012,14.213,z3
sec,PAULDSIMPLE,0,10/10/2012,8.345,e4
sec,PAULDSIMPLE,0,11/13/2012,7.981,e4
sec,PAULDSIMPLE,0,12/10/2012,8.657,e4
sec,JAKEFSIMPLE,0,10/10/2012,-14.83,z1
sec,JAKEFSIMPLE,0,11/13/2012,-14.073,z1
sec,JAKEFSIMPLE,0,12/10/2012,-14.831,z1
sec,JAKEFSIMPLE,0,10/10/2012,-9.421,ot
sec,JAKEFSIMPLE,0,11/13/2012,-8.932,ot
sec,JAKEFSIMPLE,0,12/10/2012,-9.728,ot
sec,JAKEFSIMPLE,0,10/10/2012,13.58,z3
sec,JAKEFSIMPLE,0,11/13/2012,12.879,z3
sec,JAKEFSIMPLE,0,12/10/2012,13.568,z3
sec,JAKEFSIMPLE,0,10/10/2012,8.225,e4
sec,JAKEFSIMPLE,0,11/13/2012,7.856,e4
sec,JAKEFSIMPLE,0,12/10/2012,8.52,e4
